Week Starting,Weekly ONE Thing,Lead Domino Output,Money Focus (1 line),Top Bottleneck,Next Week Constraint,Avg Energy (Rollup),Alignment Score (Formula),Status
2026-03-02,Protect 5 ONE Thing blocks,5 sessions logged + 2 Venturr outputs,Invoices collected and runway known,Quoting churn consuming build time,Interruptions fragmenting build time,,,"In Progress"
2026-03-09,Standardise one repeat process,Checklist adopted by crew for top job type,Reduce time leakage from rework,Site decision overload — no single source of truth,No written SOP for delegated function,,,"Planned"
2026-03-16,Build decision playbook v1,One-page If X Then Y for top 5 operator decisions,Cash position stable — no emergency moves,Staff escalations without clear protocol,Playbook not yet tested in field,,,"Planned"
2026-03-23,Install comms batching rule,Two daily windows operational — zero mid-block interruptions,Weekly cash glance completed on schedule,Non-emergency calls breaking focus blocks,Team not yet trained on new protocol,,,"Planned"
2026-03-30,Create single source of truth for jobs,Job tracker live with status + next action + owner,Margin review on completed jobs,Multiple systems for job tracking,Adoption resistance from team,,,"Planned"
2026-04-06,Delegate first recurring function,Written SOP handed off + first solo execution by delegate,Revenue pipeline reviewed,Dependency on founder for routine decisions,Delegate needs support during transition,,,"Planned"
2026-04-13,Implement weekly bottleneck-kill rhythm,First bottleneck-kill meeting completed + tracked,Cost reduction from eliminated bottleneck,Repeat issues consuming operator bandwidth,Identifying root cause vs symptom,,,"Planned"
2026-04-20,Add third Architect block if traction demands it,Three build sessions completed in one week,Venturr traction metrics reviewed,Operator load still above 60% target,Balancing operator reduction with cash stability,,,"Planned"
2026-04-27,Reduce operator availability by half-day,One half-day fully offline — team operated independently,Cash flow unaffected by reduced availability,Team confidence in operating without founder,Identifying gaps exposed by absence,,,"Planned"
2026-05-04,Run no-touch day test,Full day without founder intervention — gaps documented,Revenue maintained during test period,System gaps exposed during no-touch test,Converting gap list into system fixes,,,"Planned"
2026-05-11,Execute Quarterly Reset decision,One structural decision made that permanently reduces load,Quarterly financial review completed,Choosing the highest-leverage structural change,Implementation timeline for structural change,,,"Planned"
2026-05-18,Lock next quarter ONE Thing,Q3 ONE Thing defined + Yearly Reinvention updated,Q2 financial summary completed,Ensuring continuity between quarters,Maintaining momentum through quarter transition,,,"Planned"
2026-05-25,Consolidate and review full 90-day transition,Transition scorecard completed — operator vs architect ratio measured,90-day financial impact assessed,Sustaining new operating rhythm long-term,Preventing regression to old patterns,,,"Planned"
